10	76
55	92
79	37
88	2
63	83
4	28
36	99
4	71
80	18
74	94
53	38
88	80
19	94
58	29
91	60
90	43
34	63
75	35
70	86
30	3
31	55
45	64
70	2
54	46
69	10
8	2
81	49
91	39
58	32
25	83
28	87
85	58
94	91
65	95
7	81
51	83
8	5
81	86
52	73
89	91
56	87
56	76
19	80
81	88
99	78
52	44
36	28
70	69
71	9
20	99
11	89
45	23
4	47
28	2
85	40
56	20
98	90
50	82
36	42
17	88
99	73
39	3
78	83
5	67
67	30
7	75
79	24
69	44
12	27
97	84
14	12
22	14
100	42
38	62
82	33
83	89
59	73
1	19
37	4
26	41
37	58
98	45
10	1
37	10
12	44
53	37
13	97
35	59
28	97
33	92
19	77
30	74
80	33
2	97
91	36
36	95
16	36
29	66
60	3
82	23
23	66
76	82
22	59
39	44
78	71
35	14
57	97
32	73
43	52
65	9
52	60
81	22
49	27
70	51
2	63
76	84
29	9
46	26
33	36
50	90
46	72
17	44
34	36
50	65
11	24
3	78
4	61
49	70
23	36
66	67
57	86
24	22
61	5
71	83
99	62
88	24
98	70
94	20
63	11
47	90
16	46
7	43
60	55
44	22
78	22
42	61
25	97
65	42
1	97
33	58
53	41
49	61
51	20
97	4
15	57
100	13
36	92
57	42
41	50
13	32
84	99
78	41
20	62
22	73
91	63
41	30
51	34
40	58
38	85
55	44
24	82
44	32
42	43
72	86
60	99
49	45
3	95
76	90
18	49
30	61
49	26
10	89
5	42
69	31
84	3
45	37
55	1
92	14
58	4
78	35
15	13
54	38
31	98
76	51
46	78
10	17
95	97
70	56
10	55
32	20
88	74
46	27
23	9
29	37
67	55
78	33
55	19
74	39
60	20
6	61
56	10
88	34
75	36
80	67
56	48
61	84
53	22
15	64
81	61
37	1
62	42
55	29
54	56
9	75
98	10
24	28
12	76
31	25
84	57
81	21
8	10
99	6
53	75
5	39
79	9
26	91
61	75
88	45
18	14
37	63
75	31
96	56
59	81
72	4
3	91
37	74
35	53
80	12
49	40
78	39
